date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:11:21	942620/942620	---M-Z	200	added ('OK')	text/html	etag:%22604e4ba6fb4b60ff2af3969f5db39f63%22	https://aurashop.framer.website/high-rise-hustle	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/high-rise-hustle.html	(from https://aurashop.framer.website/)
22:11:22	928038/928038	---M-Z	200	added ('OK')	text/html	etag:%22430580ef55ca876cb4f3d6ac61084629%22	https://aurashop.framer.website/shirt-black	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/shirt-black.html	(from https://aurashop.framer.website/)
22:11:24	169384/169384	---MC-	200	added ('OK')	image/png	etag:%2248f1ef3090a9c5adee6f13863c5fb785%22	https://framerusercontent.com/images/mikToIV1SoCqQhyveqwESJZJOg.png?width=1024&height=1024	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/mikToIV1SoCqQhyveqwESJZJOg90ee.png	(from https://aurashop.framer.website/)
22:11:28	145323/145323	---MC-	200	added ('OK')	image/png	etag:%2294f3146a868dcf1db016855073cd3844%22	https://framerusercontent.com/images/BXSaHvzSYEqCOjcJMqmHwtW0.png?width=1024&height=1024	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/BXSaHvzSYEqCOjcJMqmHwtW090ee.png	(from https://aurashop.framer.website/)
22:11:31	924868/924868	---M-Z	200	added ('OK')	text/html	etag:%22bd632d9c71e58bc5d2ef46ea077dbcc1%22	https://aurashop.framer.website/shirt-white	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/shirt-white.html	(from https://aurashop.framer.website/)
22:11:36	101266/101266	---MC-	200	added ('OK')	image/png	etag:%22c0775c49178c295031ffe0140d840870%22	https://framerusercontent.com/images/q0bvSJ9ax4gsNAlPlRgAa3V8js.png?width=1024&height=1024	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/q0bvSJ9ax4gsNAlPlRgAa3V8js90ee.png	(from https://aurashop.framer.website/)
22:11:39	185575/185575	---MC-	200	added ('OK')	image/png	etag:%22c19b72af8af7fe129a8295a21ed04182%22	https://framerusercontent.com/images/r7ZkwPqq1P5lz7Ebw2lJbQiwLw.png?width=1024&height=1024	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/r7ZkwPqq1P5lz7Ebw2lJbQiwLw90ee.png	(from https://aurashop.framer.website/)
22:11:42	879430/879430	---M-Z	200	added ('OK')	text/html	etag:%220495e1d62f08dab8085acb4014c6b06a%22	https://aurashop.framer.website/sneakers-blue	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/sneakers-blue.html	(from https://aurashop.framer.website/)
22:11:45	246352/246352	---M-Z	200	added ('OK')	text/html	etag:%2205f14e39970b32987f55cf472e5dd5ed%22	https://aurashop.framer.website/contact	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/contact.html	(from https://aurashop.framer.website/)
22:11:46	263909/263909	---MC-	200	added ('OK')	image/png	etag:%22ae0c9f570b41eb92c5dad3c0a90e6644%22	https://framerusercontent.com/images/d20Z0EMhlfZPRfWYcdIKfVAUpU.png?width=1944&height=2048	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/d20Z0EMhlfZPRfWYcdIKfVAUpU07e8.png	(from https://aurashop.framer.website/)
